cob_urb,precip,elev,hund,pob,viv_s_a,ocupantes,ingreso
100,689.1176470588,2321,0,5001,387,2.7861,0.853117449286716
100,641.25,2235,1.96,2973,190,3.0872,0.764250751357503
100,638,2240,0,2460,237,2.9078,0.731981284553094
100,638.4444444444,2239,0.864,2178,216,2.881,0.722933863239123
100,638.46875,2234,1.166,5022,629,2.6225,0.739831247581771
44,645.84,2243,1.981,5239,626,2.5681,0.799130658160126
100,653.3529411765,2254,0.063,4804,270,3.0775,0.785163527888327
100,657.3103448276,2263,0.031,3040,137,3.3115,0.753217855643414
100,654.6774193548,2260,0.119,4100,333,2.9119,0.816880737661817
100,641,2240,1.394,1718,99,3.1815,0.752303510475701
100,641,2243,1.333,1021,97,2.752,0.759726311732309
100,640.7647058824,2235,1.626,1482,110,3.0183,0.744531002030032
41.27,658.4761904762,2240,0.226,3514,186,3.1375,0.836197903887021
92.31,651.3846153846,2240,0.391,2237,176,2.9128,0.782068810185291
100,650,2240,0.697,1059,134,2.4457,0.836694758699045
100,682,2311,0.143,541,92,2.1903,0.863533718677991
70.59,701.9705882353,2310,0,3928,828,2.0938,0.755662497800863
96.15,645.3076923077,2251,1.527,7986,787,2.7509,0.766877186048261
85.71,646.8,2240,1.144,7310,639,2.7774,0.809918647515551
100,665.6666666667,2277,0.047,3951,215,3.4031,0.673705425655658
100,661.2142857143,2311,0.065,3589,263,3.016,0.762944341973941
100,664.1428571429,2257,0.217,1040,36,3.5862,0.825906007649916
6.67,645.8666666667,2241,1.598,2827,157,3.2834,0.650174517630276
5.56,645,2241,0.856,4166,387,2.9256,0.82746611565045
100,692,2320,0.055,3809,403,2.6824,0.756309623155239
100,680.7142857143,2290,0.438,800,48,3.2129,0.825712842305296
100,682,2336,0.231,236,58,1.8438,0.873578351460008
11.84,640.1842105263,2241,0,18777,1863,2.746,0.833557659892977
2.38,642.8571428571,2238,1.148,10871,821,2.9114,0.834596536047228
100,671,2258,0.182,0,0,0,0
46.3,658.0740740741,2247,0.013,2984,106,3.6569,0.574581736940063
77.5,660.8,2257,0.032,3177,165,3.3267,0.618962226744959
43.88,664.5612244898,2255,0.711,2798,92,3.4416,0.642674269272515
0,670,2259,0.344,6,0,3,0
0,655,2249,0.069,34,3,2.6154,0
0,661,2257,1.387,64,4,3.3684,0.590614247039637
0,659,2251,0.154,28,0,3.5,0
28.57,655.2380952381,2252,0,274,19,3.3012,0.518712425857079
100,642.847826087,2249,0,3461,217,3.0737,0.796382999197499
100,643.9268292683,2248,0,1726,117,3.0821,0.734368469592713
100,644.6206896552,2248,0,2810,93,4.9823,0.765937646429078
100,646.1818181818,2242,0,1266,96,3.1259,0.690638016726653
75,642.875,2248,0,702,22,4.1786,0.703418123027
69.35,642.0322580645,2244,0,3483,101,3.8275,0.688613738448273
100,642.5365853659,2249,0,4758,170,3.5375,0.640359341751582
46.15,644,2228,0,404,19,3.0606,0.683429497037125
36.25,648.4375,2248,0,3584,185,3.2259,0.678348281702522
100,652.2941176471,2231,0.15,3701,198,3.3045,0.616744781470063
100,644,2250,0,2180,294,2.4088,0.723394399300759
100,643.1764705882,2254,0,4114,174,3.4688,0.784717735579919
81.82,643,2246,0,2986,290,2.6853,0.843042876389447
85.71,644.7142857143,2246,0,2599,73,3.8333,0.778255910684391
57.14,645,2247,0,1859,95,3.6097,0.759007200445142
0,641.3571428571,2243,0,1279,115,2.9744,0.647466851409693
0,644.9333333333,2247,0,2068,216,2.7391,0.74013691997804
22.73,647.0454545455,2249,0,8691,863,2.7356,0.81477976175109
46.67,644,2245,0,5438,425,2.9189,0.784695247882521
0,644.7142857143,2249,0,1471,78,3.1771,0.8141648008235
70.59,644,2243,0,3523,325,2.8759,0.804245522037834
27.12,644.1186440678,2247,0,285,10,3.9583,0.667298274599157
48.08,642.8333333333,2242,0,6735,758,2.7716,0.73711720761929
72.73,640.4895104895,2244,0,14394,1078,3.0593,0.77405488645343
57.33,638.4533333333,2247,0,10796,1372,2.4836,0.771468172586359
71.43,651.7142857143,2254,0.111,505,15,4.04,0.623454491715184
2.99,638.8656716418,2248,0,9179,1892,2.0715,0.828307132228783
100,637.5882352941,2250,0,2081,557,1.7802,0.822641032601177
100,640.6363636364,2260,0,2371,644,1.8099,0.763166380325749
1.03,634.9690721649,2246,0,2733,93,3.8277,0.644094831981257
0,634.4576271186,2243,0,678,69,3.2596,0.642737104554927
0,636.4823529412,2246,0,1847,45,3.832,0.631880755261252
0,637,2249,0,2603,559,2.0178,0.757678134060737
0,637.7619047619,2249,0,2894,734,1.8539,0.7083225166916
0,638.8,2248,0,3674,742,2.0781,0.71167769120654
1.32,642.8026315789,2247,0,3806,542,2.5492,0.729565502143149
57.38,640.1147540984,2247,14.27,3537,170,3.4075,0.680636492780393
100,630.1509433962,2230,24.139,5923,167,3.7702,0.609396333026662
100,630.8648648649,2230,20.452,5023,159,3.8373,0.574498942575655
100,631.8,2231,17.465,4015,97,3.7005,0.570068080421218
100,633,2232,14.715,3202,76,3.9096,0.562095460983658
100,634.25,2232,13.616,2991,81,3.7528,0.501641120656395
100,636.5277777778,2236,12.953,5373,137,3.7106,0.544192194910281
100,640,2234,17.795,5430,200,3.5936,0.553119598924856
92.86,642.3571428571,2233,17.502,4506,145,3.7394,0.554084737478738
100,619,2221,16.688,5830,172,3.6032,0.527983172808231
100,619.375,2223,16.007,2394,76,3.6163,0.536039590122916
83.87,626.9032258065,2224,18.775,7656,146,4.0487,0.481231387823378
100,634,2228,17.926,4084,158,3.4698,0.694143148698409
29.35,635.3097826087,2223,13.06,4075,231,3.2836,0.707786407545928
100,636.8253968254,2241,13.207,4510,162,3.5428,0.649780626296988
21.05,642.0877192982,2239,10.717,3001,214,2.9508,0.788256240218547
100,626.9777777778,2230,23.279,4938,145,3.6741,0.653583383028454
64.1,629.7435897436,2226,20.231,2607,77,3.6926,0.669064908183853
100,630.2,2226,23.371,2978,90,3.5793,0.670313731328548
91.3,635.5217391304,2231,18.143,4100,78,3.901,0.490396852657012
100,638.7,2229,19.143,3894,98,3.9373,0.549051238491165
100,619.1428571429,2221,18.548,2393,65,3.4883,0.535588121037326
0,640,2253,15.024,829,131,2.1816,0.842971299436925
100,640,2269,13.217,57,1,4.3846,0.670134949952748
50,642.5,2267,13.204,136,21,2.8936,0.712037879879053
71.43,628.5714285714,2225,17.447,2004,24,4.016,0.418061431922406
0,640,2246,5.506,105,12,2.625,0.768177612503829
100,618.5789473684,2225,8.52,1494,314,3.3801,0.505804422685176
100,619,2225,5.152,2253,121,3.7676,0.489736409210005
100,619,2224,15.196,1908,62,4.0253,0.494809509672351
100,621.6470588235,2225,16.664,2442,104,3.6557,0.499941938398116
100,623.5,2226,19.701,1718,56,3.6017,0.481609073185982
100,621.5,2226,15.516,2567,123,3.803,0.505315575264003
100,622.2222222222,2224,17.379,3399,132,3.7311,0.534043699499136
100,624.380952381,2226,20.648,3319,198,3.7931,0.504767131827123
100,619,2227,6.589,3419,143,3.7244,0.497558017547966
100,619,2229,8.42,240,6,4.1379,0.588551626661971
0,645,2255,13.792,2664,348,2.5739,0.796121719963697
55.56,624.4444444444,2238,13.092,1735,80,3.6146,0.571236626639997
40.94,620.5033557047,2230,5.93,4623,225,3.7708,0.545820370659081
100,626.7,2228,22.931,4617,182,3.5791,0.566081530079432
100,625.7954545455,2227,21.886,5932,203,3.696,0.531238551661898
100,623.0882352941,2228,12.482,3124,156,3.684,0.558931913563611
100,624.5,2229,18.818,3274,160,3.5703,0.558027965364744
0,625,2241,12.051,136,12,3.0222,0.78398508761989
0,649.375,2239,8.618,10250,1106,3.3918,0.723116554222922
0,645.1875,2250,13.701,2550,464,2.1776,0.860398534096759
6.9,644.5862068966,2254,11.593,1774,356,2.1297,0.750724354974317
50,620,2237,3.864,58,5,4.4615,0.56943673527007
11.11,630,2226,13.299,1473,448,3.2517,0.187964850128721
0,652,2239,6.275,5707,1219,2.0836,0.742434269310978
0,646.9384615385,2239,8.315,2453,209,3.5654,0.401941138178347
1,654.97,2249,3.853,4723,302,3.455,0.524678242793056
0,655.8,2256,2.686,618,128,3.0443,0.363966942490113
0,648.1698113208,2248,2.193,165,34,3.587,0.390114733875016
0.91,637.1272727273,2241,4.305,5757,222,3.6904,0.60361522795751
0,638.8235294118,2245,2.908,1141,51,3.6571,0.540245560007316
0,640.9189189189,2247,3.426,876,83,3.6962,0.579427641840896
0,648.0769230769,2248,2.456,5247,1902,1.5847,0.789893938033214
0,646,2248,3.465,61,5,3.05,0.693354288990748
0,639.75,2268,3.424,31,5,2.5833,0.715710019890656
0,640,2246,2.729,25,5,2.7778,0
97.27,711.4181818182,2230,3.313,7722,298,3.8941,0.531316760180811
55.93,727.186440678,2230,1.432,2019,79,3.6054,0.498420626182734
88,705.96,2231,3.895,1250,108,3.8941,0.513684407929907
96.43,703.8571428571,2232,4.985,828,173,3.6,0.497643869824088
1.56,630,2235,4.91,3626,294,3.719,0.554878011552413
0,619.4666666667,2246,0.055,631,62,3.4293,0.52866636156258
7.02,619.5964912281,2253,0,4363,202,3.588,0.525810588720447
0,619.2075471698,2243,0.024,2448,111,3.6537,0.554592077622327
0,619.6363636364,2274,0,973,43,3.7137,0.445965330216206
0,619,2284,0,146,20,2.8077,0
0,619,2245,0.136,143,15,3.0426,0.575042125835504
0,619.1428571429,2279,0.025,3407,623,2.2297,0.776216613926612
0,619.7333333333,2244,0.281,71,13,4.4375,0.502973371873174
0,619,2242,0.063,47,1,3.3571,0.625484131068068
81.2,642.7593984962,2277,0,4150,265,3.9299,0.319809333296249
25.86,627.1896551724,2265,0,1986,184,3.3776,0.501763783895278
46.84,630.0421052632,2248,0.326,5917,1456,2.0524,0.565880988461089
43.08,634.5615384615,2254,0,7217,1316,2.552,0.547122972272555
0,635.1145833333,2244,1.799,973,2659,0.3316,0.711784091740548
0,629.816091954,2239,2.064,3168,3472,0.719,0.664715771372093
0,624,2308,0,90,30,3,0
